repo,status
KDE/akonadi-calendar-tools,Pass
KDE/akonadi-import-wizard,Error
KDE/kmail-account-wizard,Pass
KDE/akonadiconsole,Error
KDE/blogilo,Pass
KDE/akregator,Pass
KDE/kmail,Error
KDE/kontact,Pass
KDE/kaddressbook,Pass
KDE/kalarm,Error
KDE/knotes,Error
KDE/korganizer,Pass
KDE/ocs-webserver,Error
KDE/ocs-cdn,Error
KDE/ocs-fileserver,Error
KDE/elisa,Error
KDE/syntax-highlighting,Error
KDE/atelier,Pass
KDE/atcore,Pass
KDE/kdev-clang-tidy,Pass
KDE/qt1,Pass
KDE/kde1-kdelibs,Pass
KDE/kde1-kdebase,Error
KDE/kde1-kdegraphics,Pass
KDE/kde1-kdetoys,Error
KDE/kde1-kdeutils,Pass
KDE/kde1-kdegames,Error
KDE/kde1-kdemultimedia,Pass
KDE/kde1-kdenetwork,Error
KDE/chocolatey-packaging,Error
KDE/kdev-verapp,Error
KDE/snapcraft-kde-applications,Error
KDE/keditbookmarks,Error
KDE/kfind,Pass
KDE/kdialog,Pass
KDE/konqueror,Error
KDE/kfilereplace,Pass
KDE/kimagemapeditor,Pass
KDE/klinkstatus,Pass
KDE/kommander,Pass
KDE/craft,Error
KDE/kdesdk-devenv-dependencies,Error
KDE/emerge,Error
KDE/systemdgenie,Pass
KDE/atcore-cli,Pass
KDE/plymouth-kcm,Pass
KDE/ktechlab,Pass
KDE/kdav,Error
KDE/ubiquity-slideshow-neon,Pass
KDE/docker-neon,Error
KDE/docker-neon-all,Error
KDE/flatpak-platform-plugin,Pass
KDE/xdg-desktop-portal-kde,Pass
KDE/klimbgrades,Pass
KDE/plasma-vault,Error
KDE/kde1-kdeadmin,Error
KDE/kimap2,Pass
KDE/plasma-mycroft,Pass
KDE/semele,Error
KDE/kuserfeedback,Error
KDE/plasma-packagekit,Pass
KDE/babe,Error
KDE/osx-integration,Error
KDE/isoimagewriter,Pass
KDE/plasma-browser-integration,Pass
KDE/plasmate,Pass
